Lap Time,Speed,Throttle,Brake,Gear,Engine RPM,Water Temp,Tire Temp,Lateral G,Longitudinal G,Fuel
0.5,12,5,0,1,800,75,65,-0.1,1.5,50
1.0,25,15,0,2,1200,76,68,0,1.2,49.95
1.5,45,35,0,3,2100,77,72,0.2,1.1,49.9
2.0,65,60,0,4,3400,78,78,0.4,1.0,49.85
2.5,85,78,0,5,4800,80,85,0.6,0.9,49.8
3.0,105,88,0,5,5800,82,92,0.8,0.8,49.75
3.5,128,95,0,6,6400,84,98,1.0,0.7,49.7
4.0,145,98,0,6,7000,86,102,1.1,0.6,49.65
4.5,155,100,0,6,7200,87,105,0.9,0.5,49.6
5.0,165,100,0,6,7300,88,107,0.5,0.4,49.55
5.5,168,99,2,6,7250,87,108,0.2,0.2,49.5
6.0,165,95,8,6,7100,86,107,0,0,49.45
6.5,155,85,15,6,6800,85,105,-0.3,-0.2,49.4
7.0,140,70,25,5,6300,84,102,-0.6,-0.5,49.35
7.5,125,55,30,5,5700,82,98,-0.8,-0.7,49.3
8.0,105,40,20,4,4900,80,92,-0.7,-0.8,49.25
8.5,88,35,10,4,4100,79,85,-0.5,-0.6,49.2
9.0,72,30,5,3,3400,78,78,-0.2,-0.3,49.15
9.5,58,25,2,3,2900,77,72,0,-0.1,49.1
10.0,45,18,0,2,2300,76,68,0.1,0.2,49.05
10.5,65,45,0,3,2800,77,72,0.3,0.8,49
11.0,92,72,0,4,3800,79,82,0.6,1.0,48.95
11.5,118,85,0,5,5200,81,90,0.9,1.1,48.9
12.0,138,93,0,6,6300,83,98,1.0,0.9,48.85
12.5,155,99,0,6,7000,85,103,1.1,0.7,48.8
13.0,168,100,0,6,7300,87,107,0.8,0.5,48.75
13.5,170,100,1,6,7350,88,108,0.3,0.2,48.7
14.0,168,98,3,6,7280,88,108,0,-0.1,48.65
14.5,162,92,8,6,7050,86,106,-0.2,-0.3,48.6
15.0,150,80,15,5,6500,84,103,-0.5,-0.6,48.55
15.5,132,65,22,5,5900,82,99,-0.8,-0.8,48.5
16.0,110,48,18,4,5000,80,93,-0.7,-0.6,48.45
16.5,92,38,12,4,4300,79,87,-0.4,-0.3,48.4
17.0,75,30,6,3,3500,78,80,-0.1,0,48.35
17.5,58,22,2,2,2800,77,73,0.1,0.3,48.3
18.0,48,16,0,2,2400,76,69,0.2,0.6,48.25
18.5,42,12,0,2,2100,75,66,0.1,0.5,48.2
19.0,55,35,0,2,2700,76,70,0,1.2,48.15
19.5,78,62,0,3,3600,78,78,0.2,1.1,48.1
20.0,110,85,0,4,5100,80,88,0.5,1.0,48.05
20.5,138,94,0,5,6300,83,97,0.8,0.8,48
21.0,160,99,0,6,7100,85,104,1.0,0.6,47.95
21.5,172,100,0,6,7350,87,108,1.1,0.4,47.9
22.0,170,100,1,6,7300,88,108,0.6,0.1,47.85
22.5,165,96,4,6,7150,87,107,0.2,-0.2,47.8
23.0,155,85,10,6,6800,85,104,-0.2,-0.5,47.75
23.5,140,72,18,5,6200,83,100,-0.6,-0.7,47.7
24.0,122,58,20,5,5600,81,95,-0.8,-0.8,47.65
24.5,105,45,15,4,4800,80,89,-0.7,-0.6,47.6
25.0,88,35,8,4,4200,79,82,-0.4,-0.2,47.55
25.5,72,28,3,3,3500,78,76,0,0.2,47.5
26.0,58,20,0,2,2900,77,70,0.2,0.5,47.45
26.5,75,50,0,3,3200,77,74,0.4,1.0,47.4
27.0,105,80,0,4,5000,80,87,0.7,1.0,47.35
27.5,135,90,0,5,6200,83,96,0.95,0.9,47.3
28.0,160,97,0,6,7050,85,103,1.05,0.7,47.25
28.5,172,100,0,6,7320,87,107,1.1,0.5,47.2
29.0,169,99,2,6,7280,87,108,0.7,0.2,47.15
29.5,162,94,5,6,7100,86,106,0.3,-0.1,47.1
30.0,150,82,12,5,6600,84,102,-0.2,-0.4,47.05
30.5,135,68,18,5,6000,82,98,-0.6,-0.8,47
31.0,115,52,16,4,5100,81,91,-0.8,-0.7,46.95
31.5,95,40,10,4,4400,80,84,-0.5,-0.3,46.9
32.0,78,30,4,3,3600,78,77,-0.1,0.1,46.85
32.5,62,22,1,2,3000,77,71,0.1,0.4,46.8
33.0,52,15,0,2,2500,76,68,0.2,0.7,46.75
